id,hive_id,hive_name,device_id,device_name,data_type_name,data_type,time_utc,value
30,1,Sample Hive,1,Sample Device,OUT,3,2025-11-30T07:16:23.000Z,6
29,1,Sample Hive,1,Sample Device,IN,2,2025-11-30T07:16:23.000Z,9
25,1,Sample Hive,1,Sample Device,TEMP,4,2025-11-30T07:16:23.000Z,22
24,1,Sample Hive,1,Sample Device,OUT,3,2025-11-30T07:21:23.000Z,5
23,1,Sample Hive,1,Sample Device,IN,2,2025-11-30T07:21:23.000Z,8
19,1,Sample Hive,1,Sample Device,TEMP,4,2025-11-30T07:21:23.000Z,21.5
18,1,Sample Hive,1,Sample Device,OUT,3,2025-11-30T07:26:23.000Z,4
17,1,Sample Hive,1,Sample Device,IN,2,2025-11-30T07:26:23.000Z,7
13,1,Sample Hive,1,Sample Device,TEMP,4,2025-11-30T07:26:23.000Z,21
12,1,Sample Hive,1,Sample Device,OUT,3,2025-11-30T07:31:23.000Z,3
11,1,Sample Hive,1,Sample Device,IN,2,2025-11-30T07:31:23.000Z,6
7,1,Sample Hive,1,Sample Device,TEMP,4,2025-11-30T07:31:23.000Z,20.5
6,1,Sample Hive,1,Sample Device,OUT,3,2025-11-30T07:36:23.000Z,2
5,1,Sample Hive,1,Sample Device,IN,2,2025-11-30T07:36:23.000Z,5
1,1,Sample Hive,1,Sample Device,TEMP,4,2025-11-30T07:36:23.000Z,20
